小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude,BUS,HOS,MAR,SUB,PSC,MSC,PAR,CBD,SCBD,RIV,ARE,geometry,REG_天河,REG_海珠,REG_荔湾,REG_越秀
富力天朗明居,天河-车陂-车陂路407号,43478,3.31,0.32,1,1.2,True,False,False,23.126222024676977,113.39947347621538,157.28631444663517,156.26211686800363,357.661809402481,410.3409443830253,84.1158448312853,600.7742988864086,789.8237717705333,7677.373842767221,6011.0238595512765,1438.2153533177627,378900,POINT (113.3994734762154 23.12622202467698),True,False,False,False
帝景苑,天河-天河北-天河北路550-590号,67770,1.34,0.3,1,2.79,True,False,False,23.146769774210373,113.34262762559617,81.11254373188395,1122.8349084404283,563.1692406769165,715.552906548877,251.64396365851,377.2070624786634,902.5991206831064,3456.924007265164,3428.884635159071,3522.31071719864,117500,POINT (113.3426276255962 23.14676977421037),True,False,False,False
盈彩美居,天河-东圃-盈溪路,52583,2.88,0.3,1,1.2,True,False,False,23.12432511045114,113.41569687372022,256.50982609344,1535.484710611873,175.64397650319628,1196.7146117952625,417.6390702804255,856.0555620817083,161.12035259109282,9319.496929760824,7467.040911101411,2068.596693474869,333600,POINT (113.4156968737202 23.12432511045114),True,False,False,False
美林湖畔花园,天河-东圃-桃园南一街,61405,2.0,0.3,1,0.9,True,False,False,23.13035783510465,113.36850942427998,201.07713828497063,697.8480055839874,293.99824655944093,755.6677474471566,585.9520212417721,754.5436574200301,318.33661159009887,4617.631611977644,3815.492992558965,2104.807143233811,201400,POINT (113.36850942428 23.13035783510465),True,False,False,False
南国花园,天河-珠江新城东-平月路161号,103521,2.0,0.4,1,2.0,True,False,False,23.11985641173335,113.35210762330092,73.43977331065958,706.11037272989,684.4153753018867,589.6442896857317,657.7637518645791,466.71313927314,780.9274235449502,2807.437747074622,2002.389088473012,691.9360859982213,175700,POINT (113.3521076233009 23.11985641173335),True,False,False,False
中海康城花园,天河-黄村-广园快速路,44901,1.74,0.4,1,2.37,True,False,False,23.13245597613332,113.41956767216143,152.51355375364977,2100.3959420837064,451.259944315261,1207.3283976934133,388.5679874354263,383.4837839389935,703.5404746049703,9796.623781458746,8166.680740324612,3059.1586743093403,69400,POINT (113.4195676721614 23.13245597613332),True,False,False,False
世纪绿洲,天河-龙洞-品翠街30号,44157,2.5,0.4,1,1.8,True,False,False,23.13035783510465,113.36850942427998,201.07713828497063,697.8480055839874,293.99824655944093,755.6677474471566,585.9520212417721,754.5436574200301,318.33661159009887,4617.631611977644,3815.492992558965,2104.807143233811,201400,POINT (113.36850942428 23.13035783510465),True,False,False,False
东方新世界,天河-天河公园-中山大道西158号,83622,3.99,0.42,1,2.3,False,True,False,23.13916310807133,113.36632600290817,219.30735777954607,265.72392278839044,300.1674129422969,1482.3079922781671,433.03845160634745,1132.8556289897745,1241.6657624977026,4742.191821469432,4540.610698898129,3082.062562051649,210700,POINT (113.3663260029082 23.13916310807133),True,False,False,False
金燕花苑,天河-燕塘-粤垦路614-624号,35440,3.8,0.35,1,1.0,False,False,True,23.162700229341745,113.33546381881754,553.9562429879018,257.37210370180776,894.2703660016092,864.6373052216594,813.3692719534074,238.1641865801491,1122.417096778688,4827.822019441095,3953.2979320480326,5078.158318163463,62900,POINT (113.3354638188175 23.16270022934174),True,False,False,False
乐意居花苑,天河-长兴-美景街18号,36173,1.84,0.3,1,0.75,True,False,False,23.13035783510465,113.36850942427998,201.07713828497063,697.8480055839874,293.99824655944093,755.6677474471566,585.9520212417721,754.5436574200301,318.33661159009887,4617.631611977644,3815.492992558965,2104.807143233811,201400,POINT (113.36850942428 23.13035783510465),True,False,False,False
芳草园小区,天河-天河北-天河北路571号,81008,3.8,0.38,1,2.3,False,False,True,23.14760866486365,113.34348892091884,203.5756856803605,1223.9930530790418,633.8473628218994,781.7227472277917,377.0455010062207,505.4610675214558,786.9827674409202,3582.8292228192536,3547.0437565538214,3631.023494486464,111700,POINT (113.3434889209188 23.14760866486365),True,False,False,False
旭景家园,天河-东圃-中山大道,41476,2.15,0.36,1,0.9,True,False,False,23.12656368238509,113.40897413494686,213.6810027490375,864.0719408625239,276.28472652984567,581.9005028032773,314.37496006925954,579.0951118994243,574.1525471454978,8648.791268189401,6912.386941634924,1844.273690437012,203500,POINT (113.4089741349469 23.12656368238509),True,False,False,False
碧海湾,天河-珠江新城西-临江大道39号,106060,3.5,0.3,1,2.8,True,False,False,23.13035783510465,113.36850942427998,201.07713828497063,697.8480055839874,293.99824655944093,755.6677474471566,585.9520212417721,754.5436574200301,318.33661159009887,4617.631611977644,3815.492992558965,2104.807143233811,201400,POINT (113.36850942428 23.13035783510465),True,False,False,False
宝翠园,天河-龙洞-宝翠路4号,58707,2.66,0.45,1,1.9,False,True,False,23.196824995212097,113.3699550673367,23.83225700083713,5297.997350768064,346.0161059537346,713.9966159361417,423.2829832489157,382.5250956529934,362.76342641149125,9674.438398382492,9123.6331514841,9463.923433866155,356900,POINT (113.3699550673367 23.1968249952121),True,False,False,False
保利心语花园,天河-珠江新城中-金穗路70号,112531,4.54,0.36,1,2.6,False,True,False,23.12834191678033,113.33668749058282,306.9156516857735,641.3370501035366,428.0882358912733,648.9971994488066,248.3572882507073,162.19700266018688,784.3383311881781,1511.773298579364,2633.752952057434,1386.8967190270223,332800,POINT (113.3366874905828 23.12834191678033),True,False,False,False
