小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude
荟雅苑,天河-林和-天河北路253号,67723,3.12,0.26,1,2.7,False,False,True,23.148595754392343,113.33302114647562
珠江嘉苑,天河-岑村-沐陂西路18号,33620,2.5,0.3,1,2.8,False,True,False,40.82838390336552,116.4898502468795
育龙居,天河-龙洞-天源路1111号,37168,2.3,0.4,1,1.0,False,False,True,23.194958323947255,113.36940683148416
富力院士庭,天河-东莞庄-东莞庄路72号,55830,3.2,0.3,1,2.8,False,True,False,23.156957142787252,113.34267388832988
富力天河华庭,天河-林和-华庭路3-5号,99275,2.5,0.3,1,2.5,False,True,False,23.15044214534278,113.33508087117876
金海花园,天河-天河北-天河北路614号,71612,2.83,0.3,1,2.5,False,False,True,23.146837978927074,113.3452175302111
名门大厦,天河-珠江新城西-花城大道2-12号,51891,7.5,0.1,1,2.1,False,True,False,23.13035783510465,113.36850942427998
宝兴翠园,天河-东圃-中山大道中1118号,68381,2.0,0.35,1,2.8,False,True,False,23.126563682385086,113.40897413494686
海景花园,天河-天河公园-黄埔大道中203号,65953,3.8,0.4,1,1.8,True,False,False,23.12908994461827,113.37152602401203
天文苑,天河-体育西路-体育西路105号,77829,6.26,0.3,1,1.9,True,False,False,23.141498216001693,113.32708774875363
天河广场,天河-东圃-中山大道中268号,30970,3.0,0.15,1,1.3,False,False,True,23.126563682385086,113.40897413494686
保利天汇,天河-小新塘-棠馨南大街1号,52040,2.55,0.16,1,2.8,False,True,False,23.175176034953143,113.35914342154439
陶然庭苑,天河-天河公园-华景北路255号,58225,3.6,0.35,1,1.8,False,True,False,23.14732737373913,113.36983172999022
育蕾小区,天河-体育西路-体育西路三街12号,52053,1.5,0.4,1,0.6,False,False,True,23.1362916673167,113.32804785768236
金碧翡翠华庭,天河-龙口西-天润路467号,70009,7.14,0.35,1,1.88,True,False,False,23.149008299478098,113.34828416556006
嘉宝华庭,天河-体育中心-天河东路220号,60909,4.9,0.35,1,2.5,False,True,False,23.143232385236846,113.33157505426612
尚东美御,天河-珠江新城中-猎德大道46-48号,105211,7.0,0.35,1,2.8,False,True,False,23.13035783510465,113.36850942427998
珠江花城,天河-珠吉-东圃岐山183号,46557,3.2,0.35,1,2.8,False,True,False,23.127342462582572,113.40987962690063
珠江俊园,天河-天河公园-俊华街5号,70172,1.77,0.28,1,1.95,True,False,False,23.143446475553592,113.3731141383226
金穗大厦,天河-体育西路-广州大道中900号,39122,6.0,0.3,1,1.8,False,False,True,23.1362916673167,113.32804785768236
骏逸苑,天河-珠江新城中-潭村路10号,80704,1.96,0.25,0,1.5,True,False,False,23.12490341043514,113.33991222770148
鸿翔大厦,天河-龙口东-天河北路615号,52285,2.5,0.12,1,1.9,False,False,True,23.14522373583136,113.34478912831354
华标广场,天河-龙口东-天河北路601号,66946,4.8,0.45,1,1.95,True,False,False,23.14522373583136,113.34478912831354
天力居,天河-东圃-东圃大马路2号,34797,3.11,0.4,1,0.8,False,False,True,23.12775789877772,113.40829681259258
阳光假日园,天河-棠东-泰安南路98-112号,46566,3.0,0.39,1,2.6,False,True,False,23.134861323988936,113.3982133332464
天河北苑,天河-沙太南-沙太南路274-320号,34606,1.37,0.4,1,0.6,False,False,True,23.09373559819642,113.30508941461868
尚德大厦,天河-天河北-五山路141号,51507,8.26,0.16,1,2.5,False,True,False,23.13035783510465,113.36850942427998
珠江新城海滨花园,天河-珠江新城东-临江大道399号,142399,2.94,0.3,1,2.5,False,False,True,23.13035783510465,113.36850942427998
南国嘉园苹果城,天河-东圃-中山大道中238号,45306,3.76,0.31,1,1.5,True,False,False,23.126563682385086,113.40897413494686
东成花苑,天河-员村-黄埔大道中187-1号,41079,3.0,0.2,1,0.4,False,True,False,40.82838390336552,116.4898502468795
阳光都会广场,天河-岗顶-石牌东路133号,56113,3.57,0.5,1,1.79,True,False,False,23.13668489271233,113.34977840694486
MBA国际公寓,天河-岗顶-黄埔大道西505号,35807,2.5,0.3,1,2.5,False,True,False,23.131928806055765,113.34557730156773
天成大厦,天河-龙口东-龙口西路98号,59685,2.3,0.2,1,1.8,False,False,True,23.14522373583136,113.34478912831354
东荣翰林苑,天河-长兴-长兴路297-299号,51562,3.0,0.37,1,1.8,False,True,False,23.17406746353384,113.3661392451927
理想蓝堡国际花园,天河-天河公园-东方三路,76654,4.5,0.3,1,2.1,True,False,False,23.134102943315984,113.37180072583689
南雅苑小区,天河-体育西路-体育东横街6号,55856,2.5,0.36,1,0.6,False,False,True,23.134789540552827,113.33567887315655
德荣小区,天河-天河北-天河东路218-268号,52063,2.5,0.38,1,0.65,False,False,True,23.144686730424116,113.34009000236185
龙岗东小区,天河-沙河-龙岗东路,26200,1.5,0.15,1,0.8,True,False,False,23.155732038375074,113.31917421619663
珠江华景里,天河-天河公园-华景东路,83899,2.96,0.31,1,2.4,False,True,False,23.134102943315984,113.37180072583689
丽晶华庭,天河-珠江新城西-金穗路22-30号,54535,2.0,0.1,1,1.8,False,False,True,23.129243155619754,113.32429204234639
伟腾天逸名都,天河-天河北-龙口中路152号,58407,2.5,0.3,1,1.5,True,False,False,23.145076109407054,113.34646608503901
星汇雅苑,天河-珠江新城东-潭村路16号,94803,2.8,0.35,1,0.9,False,True,False,23.12490341043514,113.33991222770148
时尚明苑,天河-车陂-中山大道中77号,48840,3.05,0.4,1,1.6,False,True,False,23.131891833450005,113.40045622244298
芳满庭园,天河-天河公园-华景北路,60435,3.2,0.35,1,1.5,False,True,False,23.134102943315984,113.37180072583689
南兴花园,天河-天河客运站-元岗路337号,35294,2.92,0.45,1,0.8,True,False,False,23.18362685290324,113.34512599287967
建设局宿舍(天河林和西路),天河-林和-天河林和西路115号,40600,1.5,0.28,1,0.9,False,False,True,23.15212892966442,113.32889109706431
建丽花园,天河-长兴-长兴路342-472号,38314,1.4,0.35,0,1.0,False,True,False,23.17213003680675,113.36520428881822
边检大院,天河-天河北-龙口西路187号,56561,1.1,0.25,0,1.45,False,False,True,23.14339505070891,113.34254902386405
半山翠庭,天河-五山-贤韵街17-45号,45943,2.9,0.35,1,1.0,False,False,True,23.13035783510465,113.36850942427998
华康小区,天河-天河北-华康街22-24号,56659,3.1,0.3,1,0.9,False,False,True,23.13035783510465,113.36850942427998
邮通住宅小区,天河-天河公园-中山大道西139号,53000,3.5,0.3,1,0.9,False,False,True,23.142293690238986,113.36946746710606
侨源新邨,天河-粤垦-燕都路44号-56号,27000,3.0,0.3,0,1.2,False,False,True,23.164950778827855,113.33733678580522
雅怡居,天河-东圃-雅怡街40号,30163,3.59,0.2,1,0.6,False,False,True,23.124484974089658,113.40895634849778
华南农业大学嵩山区,天河-五山-五山路483号,81797,1.2,0.2,1,0.4,False,False,True,23.13035783510465,113.36850942427998
春江花园,天河-棠东-棠东东路112-128号,35381,3.1,0.3,1,1.5,True,False,False,23.13035783510465,113.36850942427998
