PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,BUS,HOS,MAR,SUB,PSC,MSC,PAR,CBD,SCBD,RIV,ARE,REG_天河,REG_海珠,REG_荔湾,REG_越秀
0.18039359538299637,0.6177558324364483,0.6552994369644006,1.0,0.19358642620493577,1,0,0,-1.0860231152948028,-0.6368071763026792,-0.800018202484844,0.4577727175060058,1.1564361205934384,-1.4384428629489858,1.327474173610688,1.3978144289563632,2.252427695240235,-0.5241018525260187,0.8940173071085852,1,0,0,0
1.6276912461912305,-0.7530698015820254,0.4174539548882882,1.0,2.8577886775242076,1,0,0,-0.28521872755743,0.20424074083431648,0.11484428226437217,-0.5890665995178893,2.0923936471675852,0.4742400028712063,0.16746089652241292,-0.758635336472921,0.43604338034110224,1.1448901336309034,-1.3061756449319608,1,0,0,0
0.7228621080871365,0.31854008490957325,0.4174539548882882,1.0,0.19358642620493577,1,0,0,1.3380243518624333,1.9897249355499735,0.18113803021179495,2.8331065483549542,-0.093351535321549,1.3675762678914367,-0.46161022151731423,2.201477081246735,3.316678420327379,-0.019277829989012035,0.2852578975994538,1,0,0,0
1.2484697104019002,-0.29380842165705456,0.4174539548882882,1.0,-0.30909324385530407,1,0,0,0.5398989362195998,0.6722606468499179,1.3722422152240783,0.5909269731688367,-0.3486496578682869,0.4244351813725387,-0.23056413641999138,-0.10521060749961537,0.6007665585430199,0.009720339437493427,-0.7643272912093935,1,0,0,0
3.757706819797569,-0.29380842165705456,1.6066813652688496,1.0,1.5340655463655757,1,0,0,-0.664892558570426,-0.3670438348505209,0.3261506397303756,-0.013560844543909253,-0.7114838485763102,-0.834519188730155,1.4533969162603702,-0.9799186565039846,-0.6628611739503822,-1.1217396277341625,-0.08996880739970907,1,0,0,0
0.26517478083911844,-0.47472957132446736,1.6066813652688496,1.0,2.154037139439872,1,0,0,0.24837857363068847,2.6557940077294435,1.6114276920915496,2.9379185645744523,-0.24187878687700404,-0.3765810330309783,-0.6097877888838572,2.4286438770018477,3.786637998698637,0.7739872175018548,-1.0542751996178374,1,0,0,0
0.2208478644797686,0.05411686616489309,1.6066813652688496,1.0,1.198945766325416,1,0,0,0.5398989362195998,0.6722606468499179,1.3722422152240783,0.5909269731688367,-0.3486496578682869,0.4244351813725387,-0.23056413641999138,-0.10521060749961537,0.6007665585430199,0.009720339437493427,-0.7643272912093935,1,0,0,0
2.5721405447509262,1.0909342238742972,1.8445268473449614,1.0,2.0367452164258153,0,1,0,1.7384381724763998,-0.10216643425691058,-0.7585720203918072,1.9949891663889259,0.32974616312735017,0.22905540787006265,1.1624054963326707,-0.06904968867311935,1.0544069362113113,0.7923291829206387,-0.14244806684015143,1,0,0,0
-0.298503923026216,0.9587226145019568,1.0120676600785685,1.0,-0.1415333538352241,0,0,1,-0.9237536976097566,0.0063343951120968444,-0.08599824582645202,1.1225589291012597,3.300923097704968,-0.9069189192767253,-0.1868947987497864,-0.17175672805514697,0.7014298952881625,2.39084903872455,-1.4682053584543266,1,0,0,0
-0.25483237774207157,-0.40514451376007776,0.4174539548882882,1.0,-0.560433078885424,1,0,0,0.5398989362195998,0.6722606468499179,1.3722422152240783,0.5909269731688367,-0.3486496578682869,0.4244351813725387,-0.23056413641999138,-0.10521060749961537,0.6007665585430199,0.009720339437493427,-0.7643272912093935,1,0,0,0
2.4164005456066513,0.9587226145019568,1.3688358831927372,1.0,2.0367452164258153,0,0,1,-0.8639761329829697,0.3970193501574383,0.524039137645561,-0.2837996377345624,1.7369393754927507,0.9202695616928447,-0.23622041310351843,-0.6997091670175226,0.5176357456862837,1.231949851353404,-1.352094996942348,1,0,0,0
0.06111605969560608,-0.1894308353104703,1.1309904011166247,1.0,-0.30909324385530407,1,0,0,0.9459843567354085,0.8712312239287432,-0.7411358723448621,1.139109363714104,-0.08093703703746953,1.8780672008554193,-1.7453305934077492,1.8725088802744814,2.9053808259506515,-0.19892090240757235,0.30296964766060314,1,0,0,0
3.908978379792716,0.7499674418087884,0.4174539548882882,1.0,2.8745446665262153,1,0,0,0.5398989362195998,0.6722606468499179,1.3722422152240783,0.5909269731688367,-0.3486496578682869,0.4244351813725387,-0.23056413641999138,-0.10521060749961537,0.6007665585430199,0.009720339437493427,-0.7643272912093935,1,0,0,0
1.087725059410602,0.16545295826791645,2.20129507045913,1.0,1.3665056563454956,0,1,0,0.7066837754034627,7.099050022863443,1.4953832225502977,-0.7923911714558085,-0.396800704144194,0.9758621779885279,-1.0677049590452141,2.0860990811967053,4.251824127672764,5.903071635700091,-1.7128899055953892,1,0,0,0
4.294515309579481,1.4736520404784395,1.1309904011166247,1.0,2.5394248864860556,0,1,0,-0.9965600113986369,-0.23938028205103098,-0.5685093168438888,0.6237310387064228,-0.6432216763541885,0.3425225052159627,-0.03207087972797067,-1.6324789443965708,-0.11428610479445843,-0.5651990071265983,-0.008625955267023405,1,0,0,0
0.043182723910439015,0.6873408900008379,1.0120676600785685,1.0,0.19358642620493577,0,0,1,-0.14963879366589947,1.2191388683283109,-0.2735991071157174,1.2534544622880517,0.7054907520017635,0.7846264523074625,-1.652223124237157,1.9876596000632223,3.101475258963462,0.04372373377602772,0.21113094363982898,1,0,0,0
-0.3854895384625745,0.0610753719213319,-0.7717734554922726,1.0,-0.560433078885424,1,0,0,0.243752555594648,3.7471803345354915,3.8895189727056403,2.301501640863215,0.5797749356226567,0.7925192892986004,0.5926482164285755,0.8349066173537236,2.495070971473086,3.8074393007471232,-1.7037060351933118,1,0,0,0
